Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Rawalpindi,2015-12-31,Yearly,6.5,2737711.0,35.45,Urban
Rawalpindi,2016-12-31,Yearly,6.4,1715438.0,54.68,Urban
Rawalpindi,2017-12-31,Yearly,6.2,1669873.0,43.1,Urban
Rawalpindi,2018-12-31,Yearly,6.0,495127.0,57.19,Urban
Rawalpindi,2019-12-31,Yearly,6.3,1465211.0,56.95,Urban
Rawalpindi,2020-12-31,Yearly,6.5,1798971.0,51.85,Urban
Rawalpindi,2021-12-31,Yearly,6.7,2432357.0,51.48,Urban
Rawalpindi,2022-12-31,Yearly,6.6,1254359.0,47.84,Urban
Rawalpindi,2023-12-31,Yearly,6.4,2428832.0,44.34,Urban
Rawalpindi,2024-12-31,Yearly,6.2,1225552.0,37.39,Urban
Multan,2000-12-31,Yearly,6.1,2752295.0,37.28,Urban
Multan,2001-12-31,Yearly,6.0,1979807.0,45.33,Urban
Multan,2002-12-31,Yearly,5.8,1276296.0,51.99,Urban
Multan,2003-12-31,Yearly,5.6,294572.0,49.84,Urban
Multan,2004-12-31,Yearly,5.7,2338892.0,55.71,Urban
Multan,2005-12-31,Yearly,5.5,594538.0,57.44,Urban
Multan,2006-12-31,Yearly,5.3,2002824.0,57.05,Urban
Multan,2007-12-31,Yearly,5.0,1507314.0,48.55,Urban
Multan,2008-12-31,Yearly,5.2,2765211.0,57.5,Urban
Multan,2009-12-31,Yearly,5.5,1399667.0,41.86,Urban
Multan,2010-12-31,Yearly,6.0,1240194.0,44.69,Urban
Multan,2011-12-31,Yearly,6.2,931914.0,41.71,Urban
Multan,2012-12-31,Yearly,6.4,2597083.0,36.75,Urban
Multan,2013-12-31,Yearly,6.1,2065072.0,39.32,Urban
Multan,2014-12-31,Yearly,6.3,1099067.0,36.54,Urban
Multan,2015-12-31,Yearly,6.5,882924.0,54.21,Urban
Multan,2016-12-31,Yearly,6.4,2666544.0,40.54,Urban
Multan,2017-12-31,Yearly,6.2,1444289.0,46.76,Urban
Multan,2018-12-31,Yearly,6.0,2633368.0,54.07,Urban
Multan,2019-12-31,Yearly,6.3,1587924.0,51.77,Urban
Multan,2020-12-31,Yearly,6.5,2557330.0,35.24,Urban
Multan,2021-12-31,Yearly,6.7,1268381.0,57.68,Urban
Multan,2022-12-31,Yearly,6.6,2246908.0,48.57,Urban
Multan,2023-12-31,Yearly,6.4,1635969.0,43.69,Urban
Multan,2024-12-31,Yearly,6.2,1609510.0,51.38,Urban
Gujranwala,2000-12-31,Yearly,6.1,1313253.0,52.85,Urban
Gujranwala,2001-12-31,Yearly,6.0,2597573.0,38.87,Urban
Gujranwala,2002-12-31,Yearly,5.8,1409486.0,45.2,Urban
Gujranwala,2003-12-31,Yearly,5.6,2093648.0,41.25,Urban
Gujranwala,2004-12-31,Yearly,5.7,1956728.0,56.94,Urban
Gujranwala,2005-12-31,Yearly,5.5,1312582.0,57.78,Urban
Gujranwala,2006-12-31,Yearly,5.3,2980175.0,37.65,Urban
Gujranwala,2007-12-31,Yearly,5.0,775854.0,58.76,Urban
Gujranwala,2008-12-31,Yearly,5.2,2879150.0,37.44,Urban
Gujranwala,2009-12-31,Yearly,5.5,143496.0,39.03,Urban
Gujranwala,2010-12-31,Yearly,6.0,2988437.0,39.5,Urban
Gujranwala,2011-12-31,Yearly,6.2,1557388.0,56.21,Urban
Gujranwala,2012-12-31,Yearly,6.4,159165.0,50.11,Urban
Gujranwala,2013-12-31,Yearly,6.1,903374.0,56.56,Urban
Gujranwala,2014-12-31,Yearly,6.3,922037.0,52.17,Urban
Gujranwala,2015-12-31,Yearly,6.5,2055237.0,40.54,Urban
Gujranwala,2016-12-31,Yearly,6.4,200918.0,45.23,Urban
Gujranwala,2017-12-31,Yearly,6.2,938660.0,55.22,Urban
Gujranwala,2018-12-31,Yearly,6.0,2421056.0,46.43,Urban
Gujranwala,2019-12-31,Yearly,6.3,1858885.0,50.11,Urban
Gujranwala,2020-12-31,Yearly,6.5,2498759.0,45.63,Urban
Gujranwala,2021-12-31,Yearly,6.7,898795.0,41.63,Urban
Gujranwala,2022-12-31,Yearly,6.6,1654958.0,46.23,Urban
Gujranwala,2023-12-31,Yearly,6.4,1376350.0,37.28,Urban
Gujranwala,2024-12-31,Yearly,6.2,2183951.0,40.34,Urban
Sargodha,2000-12-31,Yearly,6.1,671166.0,45.32,Urban
Sargodha,2001-12-31,Yearly,6.0,760557.0,49.6,Urban
Sargodha,2002-12-31,Yearly,5.8,1177244.0,46.22,Urban
Sargodha,2003-12-31,Yearly,5.6,1657791.0,40.09,Urban
Sargodha,2004-12-31,Yearly,5.7,551680.0,57.01,Urban
Sargodha,2005-12-31,Yearly,5.5,1357799.0,45.3,Urban
Sargodha,2006-12-31,Yearly,5.3,203275.0,47.45,Urban
Sargodha,2007-12-31,Yearly,5.0,1707092.0,48.97,Urban
Sargodha,2008-12-31,Yearly,5.2,2150390.0,39.44,Urban
Sargodha,2009-12-31,Yearly,5.5,831447.0,55.27,Urban
Sargodha,2010-12-31,Yearly,6.0,2846795.0,38.4,Urban
Sargodha,2011-12-31,Yearly,6.2,1543184.0,40.35,Urban
Sargodha,2012-12-31,Yearly,6.4,274212.0,43.14,Urban
Sargodha,2013-12-31,Yearly,6.1,516694.0,52.75,Urban
Sargodha,2014-12-31,Yearly,6.3,1647804.0,38.6,Urban
Sargodha,2015-12-31,Yearly,6.5,126801.0,55.2,Urban
Sargodha,2016-12-31,Yearly,6.4,610964.0,50.16,Urban
Sargodha,2017-12-31,Yearly,6.2,1077074.0,49.64,Urban
Sargodha,2018-12-31,Yearly,6.0,1015396.0,37.17,Urban
Sargodha,2019-12-31,Yearly,6.3,746555.0,39.7,Urban
Sargodha,2020-12-31,Yearly,6.5,1341256.0,51.46,Urban
Sargodha,2021-12-31,Yearly,6.7,865038.0,35.3,Urban
Sargodha,2022-12-31,Yearly,6.6,1604918.0,50.14,Urban
Sargodha,2023-12-31,Yearly,6.4,2892324.0,49.74,Urban
Sargodha,2024-12-31,Yearly,6.2,1466400.0,49.34,Urban
Bahawalpur,2000-12-31,Yearly,6.1,2790912.0,55.71,Urban
Bahawalpur,2001-12-31,Yearly,6.0,1036638.0,40.93,Urban
Bahawalpur,2002-12-31,Yearly,5.8,861637.0,47.61,Urban
Bahawalpur,2003-12-31,Yearly,5.6,2257743.0,47.58,Urban
Bahawalpur,2004-12-31,Yearly,5.7,296610.0,53.09,Urban
Bahawalpur,2005-12-31,Yearly,5.5,2437313.0,42.24,Urban
Bahawalpur,2006-12-31,Yearly,5.3,2025965.0,45.66,Urban
Bahawalpur,2007-12-31,Yearly,5.0,2678446.0,56.13,Urban
Bahawalpur,2008-12-31,Yearly,5.2,1623753.0,52.29,Urban
Bahawalpur,2009-12-31,Yearly,5.5,2661714.0,47.39,Urban
Bahawalpur,2010-12-31,Yearly,6.0,1008427.0,53.84,Urban
Bahawalpur,2011-12-31,Yearly,6.2,738192.0,44.71,Urban
Bahawalpur,2012-12-31,Yearly,6.4,2610609.0,53.11,Urban
Bahawalpur,2013-12-31,Yearly,6.1,1271052.0,40.37,Urban
Bahawalpur,2014-12-31,Yearly,6.3,1132308.0,42.1,Urban
Bahawalpur,2015-12-31,Yearly,6.5,610659.0,53.58,Urban
Bahawalpur,2016-12-31,Yearly,6.4,831003.0,46.35,Urban
Bahawalpur,2017-12-31,Yearly,6.2,1218992.0,59.55,Urban
Bahawalpur,2018-12-31,Yearly,6.0,1234168.0,37.0,Urban
Bahawalpur,2019-12-31,Yearly,6.3,360495.0,49.77,Urban
Bahawalpur,2020-12-31,Yearly,6.5,1838154.0,45.47,Urban
Bahawalpur,2021-12-31,Yearly,6.7,1352347.0,36.35,Urban
Bahawalpur,2022-12-31,Yearly,6.6,1597985.0,47.62,Urban
Bahawalpur,2023-12-31,Yearly,6.4,533693.0,37.6,Urban
Bahawalpur,2024-12-31,Yearly,6.2,458360.0,37.53,Urban
Sialkot,2000-12-31,Yearly,6.1,1868154.0,39.91,Urban
Sialkot,2001-12-31,Yearly,6.0,829147.0,39.34,Urban
Sialkot,2002-12-31,Yearly,5.8,2877722.0,56.37,Urban
Sialkot,2003-12-31,Yearly,5.6,768435.0,43.19,Urban
Sialkot,2004-12-31,Yearly,5.7,708689.0,47.3,Urban
Sialkot,2005-12-31,Yearly,5.5,156871.0,51.78,Urban
Sialkot,2006-12-31,Yearly,5.3,1617159.0,57.47,Urban
Sialkot,2007-12-31,Yearly,5.0,576739.0,55.1,Urban
Sialkot,2008-12-31,Yearly,5.2,2396687.0,38.18,Urban
Sialkot,2009-12-31,Yearly,5.5,1255822.0,39.25,Urban
Sialkot,2010-12-31,Yearly,6.0,838689.0,41.58,Urban
Sialkot,2011-12-31,Yearly,6.2,1713086.0,45.29,Urban
Sialkot,2012-12-31,Yearly,6.4,2848425.0,38.16,Urban
Sialkot,2013-12-31,Yearly,6.1,2923707.0,40.77,Urban
Sialkot,2014-12-31,Yearly,6.3,2341334.0,43.47,Urban
Sialkot,2015-12-31,Yearly,6.5,514936.0,56.45,Urban
Sialkot,2016-12-31,Yearly,6.4,995697.0,51.47,Urban
Sialkot,2017-12-31,Yearly,6.2,1742687.0,46.79,Urban
Sialkot,2018-12-31,Yearly,6.0,1537876.0,53.31,Urban
Sialkot,2019-12-31,Yearly,6.3,354541.0,51.7,Urban
Sialkot,2020-12-31,Yearly,6.5,2697855.0,36.44,Urban
Sialkot,2021-12-31,Yearly,6.7,507895.0,52.92,Urban
Sialkot,2022-12-31,Yearly,6.6,1368117.0,45.09,Urban
Sialkot,2023-12-31,Yearly,6.4,497203.0,47.67,Urban
Sialkot,2024-12-31,Yearly,6.2,466981.0,46.92,Urban
Sheikhupura,2000-12-31,Yearly,6.1,2314484.0,41.46,Urban
Sheikhupura,2001-12-31,Yearly,6.0,1494280.0,59.8,Urban
Sheikhupura,2002-12-31,Yearly,5.8,2091286.0,56.03,Urban
Sheikhupura,2003-12-31,Yearly,5.6,1303058.0,54.2,Urban
Sheikhupura,2004-12-31,Yearly,5.7,217477.0,38.07,Urban
Sheikhupura,2005-12-31,Yearly,5.5,688905.0,45.05,Urban
Sheikhupura,2006-12-31,Yearly,5.3,2552660.0,43.66,Urban
Sheikhupura,2007-12-31,Yearly,5.0,1998401.0,52.73,Urban
Sheikhupura,2008-12-31,Yearly,5.2,1799929.0,43.93,Urban
Sheikhupura,2009-12-31,Yearly,5.5,1773455.0,43.56,Urban
Sheikhupura,2010-12-31,Yearly,6.0,343234.0,59.82,Urban
Sheikhupura,2011-12-31,Yearly,6.2,468829.0,36.81,Urban
Sheikhupura,2012-12-31,Yearly,6.4,2647739.0,42.55,Urban
Sheikhupura,2013-12-31,Yearly,6.1,1985861.0,43.23,Urban
Sheikhupura,2014-12-31,Yearly,6.3,1235217.0,41.55,Urban
Sheikhupura,2015-12-31,Yearly,6.5,1094828.0,45.27,Urban
Sheikhupura,2016-12-31,Yearly,6.4,2189207.0,47.79,Urban
Sheikhupura,2017-12-31,Yearly,6.2,2836339.0,36.05,Urban
Sheikhupura,2018-12-31,Yearly,6.0,1558898.0,49.61,Urban
Sheikhupura,2019-12-31,Yearly,6.3,2768571.0,36.23,Urban
Sheikhupura,2020-12-31,Yearly,6.5,1763149.0,56.34,Urban
Sheikhupura,2021-12-31,Yearly,6.7,801590.0,56.91,Urban
Sheikhupura,2022-12-31,Yearly,6.6,155226.0,53.31,Urban
Sheikhupura,2023-12-31,Yearly,6.4,2806028.0,51.43,Urban
Sheikhupura,2024-12-31,Yearly,6.2,1373185.0,36.12,Urban
Rahim Yar Khan,2000-12-31,Yearly,6.1,2768330.0,46.76,Urban
Rahim Yar Khan,2001-12-31,Yearly,6.0,184091.0,52.25,Urban
Rahim Yar Khan,2002-12-31,Yearly,5.8,1497328.0,38.11,Urban
Rahim Yar Khan,2003-12-31,Yearly,5.6,721388.0,36.61,Urban
Rahim Yar Khan,2004-12-31,Yearly,5.7,1765451.0,50.55,Urban
Rahim Yar Khan,2005-12-31,Yearly,5.5,1566653.0,55.43,Urban
Rahim Yar Khan,2006-12-31,Yearly,5.3,2596926.0,50.39,Urban
Rahim Yar Khan,2007-12-31,Yearly,5.0,136994.0,52.38,Urban
Rahim Yar Khan,2008-12-31,Yearly,5.2,1312198.0,49.14,Urban
Rahim Yar Khan,2009-12-31,Yearly,5.5,1982334.0,43.76,Urban
Rahim Yar Khan,2010-12-31,Yearly,6.0,2759586.0,38.35,Urban
Rahim Yar Khan,2011-12-31,Yearly,6.2,2047384.0,35.11,Urban
Rahim Yar Khan,2012-12-31,Yearly,6.4,2781488.0,37.81,Urban
Rahim Yar Khan,2013-12-31,Yearly,6.1,375164.0,43.33,Urban
Rahim Yar Khan,2014-12-31,Yearly,6.3,1183342.0,40.36,Urban
Rahim Yar Khan,2015-12-31,Yearly,6.5,1796853.0,46.07,Urban
Rahim Yar Khan,2016-12-31,Yearly,6.4,199109.0,42.99,Urban
Rahim Yar Khan,2017-12-31,Yearly,6.2,2450255.0,52.24,Urban
Rahim Yar Khan,2018-12-31,Yearly,6.0,2202125.0,52.45,Urban
Rahim Yar Khan,2019-12-31,Yearly,6.3,1001822.0,37.49,Urban
Rahim Yar Khan,2020-12-31,Yearly,6.5,890155.0,55.79,Urban
Rahim Yar Khan,2021-12-31,Yearly,6.7,2943365.0,47.35,Urban
Rahim Yar Khan,2022-12-31,Yearly,6.6,128131.0,38.5,Urban
Rahim Yar Khan,2023-12-31,Yearly,6.4,1034034.0,49.46,Urban
Rahim Yar Khan,2024-12-31,Yearly,6.2,317772.0,58.58,Urban
Jhelum,2000-12-31,Yearly,6.1,1158743.0,57.81,Urban
Jhelum,2001-12-31,Yearly,6.0,2363513.0,53.89,Urban
Jhelum,2002-12-31,Yearly,5.8,1859487.0,50.67,Urban
Jhelum,2003-12-31,Yearly,5.6,1950209.0,50.72,Urban
Jhelum,2004-12-31,Yearly,5.7,1705812.0,59.66,Urban
Jhelum,2005-12-31,Yearly,5.5,2223643.0,54.42,Urban
Jhelum,2006-12-31,Yearly,5.3,2630142.0,40.39,Urban
Jhelum,2007-12-31,Yearly,5.0,343032.0,47.07,Urban
Jhelum,2008-12-31,Yearly,5.2,1590834.0,55.73,Urban
Jhelum,2009-12-31,Yearly,5.5,1386972.0,49.27,Urban
Jhelum,2010-12-31,Yearly,6.0,1628506.0,35.96,Urban
Jhelum,2011-12-31,Yearly,6.2,1884123.0,55.7,Urban
Jhelum,2012-12-31,Yearly,6.4,556752.0,49.86,Urban
Jhelum,2013-12-31,Yearly,6.1,1821471.0,39.1,Urban
Jhelum,2014-12-31,Yearly,6.3,458044.0,59.5,Urban
Jhelum,2015-12-31,Yearly,6.5,1241786.0,40.69,Urban
Jhelum,2016-12-31,Yearly,6.4,596841.0,51.69,Urban
Jhelum,2017-12-31,Yearly,6.2,1867391.0,51.09,Urban
Jhelum,2018-12-31,Yearly,6.0,355217.0,57.34,Urban
Jhelum,2019-12-31,Yearly,6.3,1228873.0,42.83,Urban
Jhelum,2020-12-31,Yearly,6.5,1440848.0,44.75,Urban
Jhelum,2021-12-31,Yearly,6.7,2604373.0,58.23,Urban
Jhelum,2022-12-31,Yearly,6.6,980014.0,56.6,Urban
Jhelum,2023-12-31,Yearly,6.4,2366417.0,58.27,Urban
Jhelum,2024-12-31,Yearly,6.2,812676.0,49.42,Urban
Okara,2000-12-31,Yearly,6.1,896179.0,55.6,Urban
Okara,2001-12-31,Yearly,6.0,115440.0,49.12,Urban
Okara,2002-12-31,Yearly,5.8,1083690.0,43.07,Urban
Okara,2003-12-31,Yearly,5.6,1970228.0,56.29,Urban
Okara,2004-12-31,Yearly,5.7,1866667.0,56.33,Urban
Okara,2005-12-31,Yearly,5.5,867332.0,47.99,Urban
Okara,2006-12-31,Yearly,5.3,1406556.0,35.29,Urban
Okara,2007-12-31,Yearly,5.0,1714755.0,51.54,Urban
Okara,2008-12-31,Yearly,5.2,1816552.0,53.41,Urban
Okara,2009-12-31,Yearly,5.5,1756885.0,36.67,Urban
Okara,2010-12-31,Yearly,6.0,437692.0,49.91,Urban
Okara,2011-12-31,Yearly,6.2,897440.0,36.99,Urban
Okara,2012-12-31,Yearly,6.4,1345848.0,48.86,Urban
Okara,2013-12-31,Yearly,6.1,1053363.0,53.01,Urban
Okara,2014-12-31,Yearly,6.3,1966935.0,43.32,Urban
Okara,2015-12-31,Yearly,6.5,2289130.0,51.22,Urban
Okara,2016-12-31,Yearly,6.4,1948592.0,48.84,Urban
Okara,2017-12-31,Yearly,6.2,133030.0,52.41,Urban
Okara,2018-12-31,Yearly,6.0,1190521.0,58.57,Urban
Okara,2019-12-31,Yearly,6.3,2472156.0,49.69,Urban
Okara,2020-12-31,Yearly,6.5,831328.0,40.09,Urban
Okara,2021-12-31,Yearly,6.7,1087116.0,46.91,Urban
Okara,2022-12-31,Yearly,6.6,958590.0,47.87,Urban
Okara,2023-12-31,Yearly,6.4,579574.0,59.44,Urban
Okara,2024-12-31,Yearly,6.2,412981.0,58.3,Urban
Dera Ghazi Khan,2000-12-31,Yearly,6.1,2749376.0,48.13,Urban
Dera Ghazi Khan,2001-12-31,Yearly,6.0,2202240.0,45.9,Urban
Dera Ghazi Khan,2002-12-31,Yearly,5.8,1927100.0,43.51,Urban
Dera Ghazi Khan,2003-12-31,Yearly,5.6,973361.0,49.46,Urban
Dera Ghazi Khan,2004-12-31,Yearly,5.7,1544576.0,49.49,Urban
Dera Ghazi Khan,2005-12-31,Yearly,5.5,931316.0,44.17,Urban
Dera Ghazi Khan,2006-12-31,Yearly,5.3,343304.0,36.31,Urban
Dera Ghazi Khan,2007-12-31,Yearly,5.0,835026.0,36.86,Urban
Dera Ghazi Khan,2008-12-31,Yearly,5.2,400947.0,55.32,Urban
Dera Ghazi Khan,2009-12-31,Yearly,5.5,212734.0,51.47,Urban
Dera Ghazi Khan,2010-12-31,Yearly,6.0,890417.0,56.79,Urban
Dera Ghazi Khan,2011-12-31,Yearly,6.2,1506478.0,42.64,Urban
Dera Ghazi Khan,2012-12-31,Yearly,6.4,1601153.0,44.55,Urban
Dera Ghazi Khan,2013-12-31,Yearly,6.1,1736473.0,37.86,Urban
Dera Ghazi Khan,2014-12-31,Yearly,6.3,2991272.0,45.64,Urban
Dera Ghazi Khan,2015-12-31,Yearly,6.5,1109869.0,52.76,Urban
Dera Ghazi Khan,2016-12-31,Yearly,6.4,1155308.0,55.83,Urban
Dera Ghazi Khan,2017-12-31,Yearly,6.2,1417385.0,52.99,Urban
Dera Ghazi Khan,2018-12-31,Yearly,6.0,411614.0,56.15,Urban
Dera Ghazi Khan,2019-12-31,Yearly,6.3,2233582.0,40.29,Urban
Dera Ghazi Khan,2020-12-31,Yearly,6.5,521329.0,42.91,Urban
Dera Ghazi Khan,2021-12-31,Yearly,6.7,2930605.0,41.42,Urban
Dera Ghazi Khan,2022-12-31,Yearly,6.6,1422769.0,35.75,Urban
Dera Ghazi Khan,2023-12-31,Yearly,6.4,1251960.0,49.28,Urban
Dera Ghazi Khan,2024-12-31,Yearly,6.2,2864061.0,47.92,Urban
Gujrat,2000-12-31,Yearly,6.1,2475411.0,48.68,Urban
Gujrat,2001-12-31,Yearly,6.0,218277.0,42.88,Urban
Gujrat,2002-12-31,Yearly,5.8,1769094.0,58.76,Urban
Gujrat,2003-12-31,Yearly,5.6,2591478.0,40.71,Urban
Gujrat,2004-12-31,Yearly,5.7,738319.0,40.03,Urban
Gujrat,2005-12-31,Yearly,5.5,2775247.0,56.32,Urban
Gujrat,2006-12-31,Yearly,5.3,2347162.0,44.82,Urban
Gujrat,2007-12-31,Yearly,5.0,1562704.0,46.61,Urban
Gujrat,2008-12-31,Yearly,5.2,834855.0,47.63,Urban
Gujrat,2009-12-31,Yearly,5.5,188440.0,38.3,Urban
Gujrat,2010-12-31,Yearly,6.0,2671110.0,53.79,Urban
Gujrat,2011-12-31,Yearly,6.2,1326318.0,47.93,Urban
Gujrat,2012-12-31,Yearly,6.4,1172997.0,53.52,Urban
Gujrat,2013-12-31,Yearly,6.1,2374143.0,54.08,Urban
Gujrat,2014-12-31,Yearly,6.3,2195574.0,40.11,Urban
Gujrat,2015-12-31,Yearly,6.5,1080113.0,46.75,Urban
Gujrat,2016-12-31,Yearly,6.4,1059300.0,53.87,Urban
Gujrat,2017-12-31,Yearly,6.2,1055125.0,38.46,Urban
Gujrat,2018-12-31,Yearly,6.0,1257217.0,59.5,Urban
Gujrat,2019-12-31,Yearly,6.3,755056.0,50.3,Urban
Gujrat,2020-12-31,Yearly,6.5,1355622.0,36.78,Urban
Gujrat,2021-12-31,Yearly,6.7,1514842.0,52.55,Urban
Gujrat,2022-12-31,Yearly,6.6,1588338.0,56.8,Urban
Gujrat,2023-12-31,Yearly,6.4,937917.0,37.16,Urban
Gujrat,2024-12-31,Yearly,6.2,2816040.0,44.45,Urban
Vehari,2000-12-31,Yearly,6.1,1771576.0,54.8,Urban
Vehari,2001-12-31,Yearly,6.0,1040510.0,52.9,Urban
Vehari,2002-12-31,Yearly,5.8,492715.0,42.28,Urban
Vehari,2003-12-31,Yearly,5.6,519661.0,55.28,Urban
Vehari,2004-12-31,Yearly,5.7,745683.0,52.94,Urban
Vehari,2005-12-31,Yearly,5.5,2835565.0,48.19,Urban
Vehari,2006-12-31,Yearly,5.3,1666085.0,46.53,Urban
Vehari,2007-12-31,Yearly,5.0,1045081.0,46.89,Urban
Vehari,2008-12-31,Yearly,5.2,1848142.0,59.65,Urban
Vehari,2009-12-31,Yearly,5.5,2819517.0,56.55,Urban
Vehari,2010-12-31,Yearly,6.0,2678479.0,46.7,Urban
Vehari,2011-12-31,Yearly,6.2,2006589.0,57.38,Urban
Vehari,2012-12-31,Yearly,6.4,1239557.0,59.04,Urban
Vehari,2013-12-31,Yearly,6.1,1305780.0,50.03,Urban
Vehari,2014-12-31,Yearly,6.3,2158434.0,58.76,Urban
Vehari,2015-12-31,Yearly,6.5,809387.0,53.65,Urban
Vehari,2016-12-31,Yearly,6.4,1610365.0,41.71,Urban
Vehari,2017-12-31,Yearly,6.2,2352160.0,48.81,Urban
Vehari,2018-12-31,Yearly,6.0,2016824.0,43.07,Urban
Vehari,2019-12-31,Yearly,6.3,1495694.0,50.43,Urban
Vehari,2020-12-31,Yearly,6.5,1274241.0,39.96,Urban
Vehari,2021-12-31,Yearly,6.7,2888757.0,47.79,Urban
Vehari,2022-12-31,Yearly,6.6,2228369.0,45.28,Urban
Vehari,2023-12-31,Yearly,6.4,1129882.0,45.18,Urban
Vehari,2024-12-31,Yearly,6.2,1286670.0,48.6,Urban
Bahawalpur,2000-12-31,Monthly,6.1,2790912.0,55.71,Urban
Bahawalpur,2001-01-31,Monthly,6.091666666666667,2644722.5,54.47833333333333,Urban
Bahawalpur,2001-02-28,Monthly,6.083333333333333,2498533.0,53.24666666666667,Urban
Bahawalpur,2001-03-31,Monthly,6.074999999999999,2352343.5,52.015,Urban
